FFEuQWJDyil7jzZf,3519204479,3325776014
jv3xGbWsrW5z2O3r,359664820,3786461668
r1tOLBEkQIbr5x0P,3585621100,2228117778
LIVrICrlshuUQLBD,1164247673,3598769585
vVRXy78VODGCR21S,1860395045,1549547526
YdM5V8gfntpF8xhY,2797475736,3905769950
RtSV6BDWE1E8FyDP,538689130,1871912232
0Vzb36KjYCAkI9Sc,104457838,2808909171
CbsLHmMCGE421crh,1170604020,697409706
23Qp7sWMHZkG5tyS,2579607073,3095101734
XfKOvxqbhmNgYsAf,1937235411,3683888785
dQhVBZsLq5gBC0Mf,1404768816,2176150172
DuMmoXazGn4jBrcM,198956572,2107937174
C4EFUbbHApfPqUF2,3871616387,621564763
MNFl5eaqwtXdSFom,777584946,2813866578
AXlUF09EonL3zNet,3517915586,3129870882
0A3I9IwQMEDi4otX,204620790,3766538046
wu2VrhLvpka4rWmD,1861066090,2141817426
gcE85a8YxFJXeJDC,1286520494,1934787350
jQC1ltnfaUa34hcL,2373263407,1896051530
